surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,357,Dominic Stricker,21,40.18%,45,112,0.53,2.55,5.33,1.02,2.14,63.30%,69,109,0.53,2.48,5.19,0.91,1.9
all,580,Dominik Kellovsky,5,25.93%,7,27,0.47,2.25,5.4,0.58,1.4,67.50%,27,40,0.68,3.33,8,1.08,2.6
all,498,Dominik Palan,14,30.77%,24,78,0.47,2.36,5.57,0.73,1.71,66.29%,59,89,0.55,2.7,6.36,0.91,2.14
all,307,Duje Ajdukovic,48,41.82%,133,318,0.59,2.92,6.62,1.22,2.77,59.89%,215,359,0.67,3.29,7.48,1.32,3
all,1789,Duncan Chan,11,50.00%,25,50,0.4,1.92,4.55,0.96,2.27,56.72%,38,67,0.53,2.58,6.09,1.12,2.64
all,152,Dusan Lajovic,42,38.03%,116,305,0.65,3.18,7.26,1.21,2.76,55.56%,155,279,0.6,2.91,6.64,1.29,2.95
all,556,Dylan Dietrich,9,27.27%,21,77,0.75,3.67,8.56,1,2.33,69.57%,32,46,0.46,2.19,5.11,0.67,1.56
all,225,Edas Butvilas,50,38.37%,132,344,0.64,2.99,6.88,1.15,2.64,62.39%,204,327,0.61,2.84,6.54,1.07,2.46
all,375,Eduardo Ribeiro,28,44.23%,92,208,0.67,3.25,7.43,1.44,3.29,52.38%,99,189,0.61,2.95,6.75,1.41,3.21
all,391,Edward Winter,26,36.61%,82,224,0.77,3.61,8.62,1.32,3.15,59.65%,102,171,0.58,2.76,6.58,1.11,2.65
all,486,Eero Vasa,15,51.65%,47,91,0.53,2.53,6.07,1.31,3.13,59.69%,77,129,0.76,3.58,8.6,1.44,3.47
